 Nuclides of the ICRP-07 Collection Decaying by Alpha Eimission

                    Decay          Energy
  Nuclide   T1/2    Mode     #/nt (MeV/nt)
  ----------------------------------------
  Nd-144 2.29E+15 y  A         1   1.9051
  Pm-145     17.7 y  ECA       1   < E-04
  Sm-146  1.03E+8 y  A         1   2.5290
  Sm-147 1.060E11 y  A         1   2.3105
  Sm-148    7E+15 y  A         1   1.9860
  Eu-147     24.1 d  ECB+A     1   < E-04
  Eu-148     54.5 d  ECB+A     1   < E-04
  Gd-148     74.6 y  A         1   3.2712
  Gd-150  1.79E+6 y  A         1   2.8090
  Gd-151      124 d  ECA       1   < E-04
  Gd-152 1.08E+14 y  A         1   2.2046
  Tb-149    4.118 h  ECB+A     2   0.6810
  Tb-149m    4.16 m  ECB+A     1   0.0009
  Tb-150     3.48 h  ECB+A     1   < E-04
  Tb-151   17.609 h  ECB+A     2   0.0003
  Dy-150     7.17 m  ECB+A     1   1.5663
  Dy-151     17.9 m  ECB+A     1   0.2340
  Dy-152     2.38 h  ECA       1   0.0037
  Dy-153      6.4 h  ECB+A     2   0.0003
  Dy-154   3.0E+6 y  A         1   2.9470
  Ho-153     2.01 m  ECB+A     1   0.0020
  Ho-153m     9.3 m  ECB+A     1   0.0074
  Ho-154    11.76 m  ECB+A     1   0.0007
  Ho-154m    3.10 m  ECB+A     1   < E-04
  Er-154     3.73 m  ECB+A     1   0.0201
  Hf-174  2.0E+15 y  A         1   2.4947
  Os-186  2.0E+15 y  A         1   2.8219
  Pt-184     17.3 m  ECB+A     1   < E-04
  Pt-186     2.08 h  ECA       1   < E-04
  Pt-188     10.2 d  ECA       1   < E-04
  Pt-190 6.50E+11 y  A         1   3.2490
  Au-187      8.4 m  ECB+A     1   0.0001
  Pb-194     12.0 m  ECB+A     1   < E-04
  Pb-202  5.25E+4 y  ECA       1   0.0259
  Pb-210    22.20 y  B-A       1   < E-04
  Bi-210    5.013 d  B-A       2   < E-04
  Bi-210m 3.04E+6 y  A         9   5.0064
  Bi-211     2.14 m  A B-      2   6.6756
  Bi-212    60.55 m  B-A       8   2.2163
  Bi-213    45.59 m  B-A       2   0.1245
