 Nuclides of the ICRP-07 Collection Decaying by Beta Minus Emission

                                         --- Energy ---
                     Decay      Yield    Mean  End Point
  Nuclide    T1/2    Mode       (/nt)    (MeV)   (MeV)
  ------------------------------------------------------
  H-3       12.32 y  B-       1.000E+00 0.00568 0.01859
  Be-10   1.51E+6 y  B-       1.000E+00 0.25247 0.55620
  C-14    5.70E+3 y  B-       1.000E+00 0.04945 0.15648
  N-16       7.13 s  B-       1.000E+00 2.75615 10.42070
  O-19     26.464 s  B-       1.000E+00 1.76040 4.81960
  Ne-24      3.38 m  B-       1.000E+00 0.80333 1.99779
  Na-24   14.9590 h  B-       1.000E+00 0.55379 4.14493
  Mg-27     9.458 m  B-       1.000E+00 0.70204 1.76684
  Mg-28    20.915 h  B-       1.000E+00 0.15189 0.85963
  Al-28    2.2414 m  B-       1.000E+00 1.24164 2.86289
  Al-29      6.56 m  B-       1.000E+00 0.97633 2.40630
  Si-31     157.3 m  B-       1.000E+00 0.59486 1.49050
  Si-32       132 y  B-       1.000E+00 0.06863 0.22450
  P-32     14.263 d  B-       1.000E+00 0.69478 1.71066
  P-33      25.34 d  B-       1.000E+00 0.07643 0.24850
  S-35      87.51 d  B-       1.000E+00 0.04872 0.16714
  S-37       5.05 m  B-       1.000E+00 0.79978 4.86530
  S-38      170.3 m  B-       1.000E+00 0.48983 2.93700
  Cl-36   3.01E+5 y  B-ECB+   9.810E-01 0.27844 0.70860*
  Cl-38     37.24 m  B-       1.000E+00 1.55040 4.91680
  Cl-39      55.6 m  B-       1.000E+00 0.82446 3.44100
  Cl-40      1.35 m  B-       1.000E+00 1.52638 7.48000
  Ar-39       269 y  B-       1.000E+00 0.21879 0.56500
  Ar-41    109.61 m  B-       1.000E+00 0.46366 2.49161
  Ar-42      32.9 y  B-       1.000E+00 0.23254 0.59900
  Ar-43      5.37 m  B-       1.000E+00 1.35688 4.58300
  Ar-44     11.87 m  B-       1.000E+00 0.52405 2.95730
  K-40   1.251E+9 y  B-ECB+   8.914E-01 0.58480 1.31109*
  K-42     12.360 h  B-       1.000E+00 1.43033 3.52545
  K-43       22.3 h  B-       1.000E+00 0.30943 1.81500
  K-44      22.13 m  B-       1.000E+00 1.45658 5.65900
  K-45       17.3 m  B-       1.000E+00 0.99547 4.20500
  K-46        105 s  B-       1.000E+00 2.31604 6.37100
  Ca-45    162.67 d  B-       1.000E+00 0.07720 0.25680
  Ca-47     4.536 d  B-       1.000E+00 0.35203 1.99190
  Ca-49     8.718 m  B-       1.000E+00 0.86931 3.03360
  Sc-46     83.79 d  B-       1.000E+00 0.11183 1.47741
  Sc-47    3.3492 d  B-       1.000E+00 0.16193 0.60010
  Sc-48     43.67 h  B-       1.000E+00 0.22118 0.66079
  Sc-49      57.2 m  B-       1.000E+00 0.81773 1.99400
